event_name,timestamp,zone_id,forecast_rain_72h_mm,rainfall_anomaly_pct,soil_saturation_pct,storm_distance_km,storm_wind_kmh,lead_time_hours,observed_impact_score
noru-2022,2022-09-25T04:00:00+07:00,da-nang-hoa-vang,78,18,50,520,70,72,
noru-2022,2022-09-25T04:00:00+07:00,da-nang-dien-ban-hoi-an,92,24,56,480,74,72,
noru-2022,2022-09-25T04:00:00+07:00,da-nang-thang-binh-coastal,98,26,58,455,78,72,
noru-2022,2022-09-25T04:00:00+07:00,da-nang-dai-loc-vu-gia,88,22,55,490,72,72,
noru-2022,2022-09-25T04:00:00+07:00,hue-lagoon-rice,70,16,48,610,66,72,
noru-2022,2022-09-25T04:00:00+07:00,hue-phong-dien-buffer,62,12,43,650,62,72,
noru-2022,2022-09-26T04:00:00+07:00,da-nang-hoa-vang,120,35,63,330,88,48,
noru-2022,2022-09-26T04:00:00+07:00,da-nang-dien-ban-hoi-an,145,48,70,275,96,48,
noru-2022,2022-09-26T04:00:00+07:00,da-nang-thang-binh-coastal,158,52,73,250,102,48,
noru-2022,2022-09-26T04:00:00+07:00,da-nang-dai-loc-vu-gia,150,50,72,300,94,48,
noru-2022,2022-09-26T04:00:00+07:00,hue-lagoon-rice,112,34,62,390,84,48,
noru-2022,2022-09-26T04:00:00+07:00,hue-phong-dien-buffer,96,28,56,430,78,48,
noru-2022,2022-09-27T04:00:00+07:00,da-nang-hoa-vang,185,58,76,190,108,24,
noru-2022,2022-09-27T04:00:00+07:00,da-nang-dien-ban-hoi-an,220,76,84,135,120,24,
noru-2022,2022-09-27T04:00:00+07:00,da-nang-thang-binh-coastal,238,84,88,118,128,24,
noru-2022,2022-09-27T04:00:00+07:00,da-nang-dai-loc-vu-gia,230,82,86,160,116,24,
noru-2022,2022-09-27T04:00:00+07:00,hue-lagoon-rice,175,60,75,245,98,24,
noru-2022,2022-09-27T04:00:00+07:00,hue-phong-dien-buffer,145,44,66,285,88,24,
noru-2022,2022-09-28T03:30:00+07:00,da-nang-hoa-vang,240,76,88,75,126,6,
noru-2022,2022-09-28T03:30:00+07:00,da-nang-dien-ban-hoi-an,285,98,94,32,142,6,
noru-2022,2022-09-28T03:30:00+07:00,da-nang-thang-binh-coastal,300,105,96,18,148,6,
noru-2022,2022-09-28T03:30:00+07:00,da-nang-dai-loc-vu-gia,295,102,97,60,134,6,
noru-2022,2022-09-28T03:30:00+07:00,hue-lagoon-rice,220,78,88,175,112,6,
noru-2022,2022-09-28T03:30:00+07:00,hue-phong-dien-buffer,180,58,76,220,96,6,
noru-2022,2022-09-29T04:00:00+07:00,da-nang-hoa-vang,165,42,82,210,55,0,
noru-2022,2022-09-29T04:00:00+07:00,da-nang-dien-ban-hoi-an,210,64,92,185,58,0,
noru-2022,2022-09-29T04:00:00+07:00,da-nang-thang-binh-coastal,225,70,94,170,60,0,
noru-2022,2022-09-29T04:00:00+07:00,da-nang-dai-loc-vu-gia,245,82,96,205,54,0,
noru-2022,2022-09-29T04:00:00+07:00,hue-lagoon-rice,155,44,82,300,48,0,
noru-2022,2022-09-29T04:00:00+07:00,hue-phong-dien-buffer,125,30,70,340,42,0,
